,Data_path,Image_path,Condition,mPlate,Processing
p8_CTRL,pyphe_quant/NewProject-Run-2-Plate-008-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-008-Ctrl.jpg,LB,p_8,2024-03-11 15:46:07.495723
p8_EXP,pyphe_quant/NewProject-Run-2-Plate-008-Exp.jpg.csv,images/NewProject-Run-2-Plate-008-Exp.jpg,LB+Salt,p_8,2024-03-11 15:46:07.495723
p9_CTRL,pyphe_quant/NewProject-Run-2-Plate-009-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-009-Ctrl.jpg,LB,p_9,2024-03-11 15:46:07.495723
p9_EXP,pyphe_quant/NewProject-Run-2-Plate-009-Exp.jpg.csv,images/NewProject-Run-2-Plate-009-Exp.jpg,LB+Salt,p_9,2024-03-11 15:46:07.495723
p10_CTRL,pyphe_quant/NewProject-Run-2-Plate-010-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-010-Ctrl.jpg,LB,p_10,2024-03-11 15:46:07.495723
p10_EXP,pyphe_quant/NewProject-Run-2-Plate-010-Exp.jpg.csv,images/NewProject-Run-2-Plate-010-Exp.jpg,LB+Salt,p_10,2024-03-11 15:46:07.495723
p11_CTRL,pyphe_quant/NewProject-Run-2-Plate-011-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-011-Ctrl.jpg,LB,p_11,2024-03-11 15:46:07.495723
p11_EXP,pyphe_quant/NewProject-Run-2-Plate-011-Exp.jpg.csv,images/NewProject-Run-2-Plate-011-Exp.jpg,LB+Salt,p_11,2024-03-11 15:46:07.495723
p12_CTRL,pyphe_quant/NewProject-Run-2-Plate-012-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-012-Ctrl.jpg,LB,p_12,2024-03-11 15:46:07.495723
p12_EXP,pyphe_quant/NewProject-Run-2-Plate-012-Exp.jpg.csv,images/NewProject-Run-2-Plate-012-Exp.jpg,LB+Salt,p_12,2024-03-11 15:46:07.495723
p13_CTRL,pyphe_quant/NewProject-Run-2-Plate-013-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-013-Ctrl.jpg,LB,p_13,2024-03-11 15:46:07.495723
p13_EXP,pyphe_quant/NewProject-Run-2-Plate-013-Exp.jpg.csv,images/NewProject-Run-2-Plate-013-Exp.jpg,LB+Salt,p_13,2024-03-11 15:46:07.495723
p14_CTRL,pyphe_quant/NewProject-Run-2-Plate-014-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-014-Ctrl.jpg,LB,p_14,2024-03-11 15:46:07.495723
